iter	RMSE
0	0.9060129368
1	0.8819377519
2	0.8588173669
3	0.8372455912
4	0.8157854333
5	0.796756927
6	0.777087428
7	0.7595176619
8	0.7420014726
9	0.7246284121
10	0.7080104014
11	0.6927027108
12	0.6779349538
13	0.665195668
14	0.6523115676
15	0.6390486028
16	0.6265544479
17	0.6136226676
18	0.6015880921
19	0.5907130533
20	0.5792422657
21	0.569543348
22	0.559982971
23	0.5502016128
24	0.541379757
25	0.5327396947
26	0.5245513902
27	0.5164843264
28	0.5087804662
29	0.5022622091
30	0.4955226687
31	0.48902604
32	0.482005429
33	0.4767127451
34	0.471130482
35	0.4651807977
36	0.4595018931
37	0.4546316419
38	0.4498344247
39	0.4453863487
40	0.4414066633
41	0.4370456268
42	0.4329826577
43	0.4293592535
44	0.4261563775
45	0.4232161989
46	0.41993401
47	0.4171772108
48	0.4138708665
49	0.4108970334
50	0.4084601426
51	0.4057161792
52	0.4036321194
53	0.4011509248
54	0.398763879
55	0.396641165
56	0.3946296566
57	0.3926386865
58	0.3904163762
59	0.3882061997
60	0.3864081505
61	0.3846042489
62	0.3831640695
63	0.3815195796
64	0.3803851076
65	0.3791750268
66	0.377681684
67	0.3762468961
68	0.3747606969
69	0.3737720417
70	0.3727230676
71	0.3714617799
72	0.370375322
73	0.3693087041
74	0.3683275086
75	0.3674382848
76	0.366554085
77	0.3654723278
78	0.3646735166
79	0.3637927809
80	0.3629974128
81	0.3622144038
82	0.3615328981
83	0.3609798841
84	0.3604767032
85	0.3599870777
86	0.3592350838
87	0.3586904548
88	0.3580590695
89	0.3573493651
90	0.3567666169
91	0.3563153241
92	0.3557137291
93	0.3551887375
94	0.3546832039
95	0.3541756634
96	0.3538176706
97	0.3533228586
98	0.3528490596
99	0.3525648707
100	0.3522509984
101	0.3515754207
102	0.3511197821
103	0.3507547346
104	0.3504542402
105	0.350024519
106	0.3496181106
107	0.3490914452
108	0.348679326
109	0.348341631
110	0.3481010262
111	0.3477724983
112	0.3474801426
113	0.347183376
114	0.346962985
115	0.3466897945
116	0.3462267873
117	0.3459502049
118	0.3455720824
119	0.3453351456
120	0.344988477
121	0.3447423232
122	0.344435896
123	0.3442115035
124	0.3439701926
125	0.3436505031
126	0.3434326397
127	0.3432665662
128	0.3430889014
129	0.3428884737
130	0.3427173996
131	0.3425148208
132	0.3422471009
133	0.3420958118
134	0.3418849862
135	0.3416675728
136	0.3415321524
137	0.3413782801
138	0.341167193
139	0.340973798
140	0.3407903856
141	0.3405881777
142	0.3404423166
143	0.3401883964
144	0.3400129114
145	0.3398615767
146	0.3396930831
147	0.339581867
148	0.3394675532
149	0.3393749111
150	0.3392406581
151	0.3391505361
152	0.3389914945
153	0.3388280329
154	0.338495054
155	0.3384078246
156	0.3382693422
157	0.3380803752
158	0.3379554318
159	0.3378621314
160	0.3377126837
161	0.3375805647
162	0.337466927
163	0.3373463028
164	0.3372489961
165	0.3371155247
166	0.3370377128
167	0.3369235556
168	0.3366152206
169	0.3365082655
170	0.3363771566
171	0.3362641279
172	0.3362112785
173	0.3360267772
174	0.3359248441
175	0.3358005132
176	0.3356600318
177	0.3355707043
178	0.335507335
179	0.3354283795
180	0.3353516237
181	0.3352738472
182	0.3351356415
183	0.3350353255
184	0.3349016447
185	0.3348002012
186	0.3346591861
187	0.3344940541
188	0.3344256528
189	0.3343124878
190	0.334254604
191	0.3342118503
192	0.3340770298
193	0.3340018127
194	0.3339312518
195	0.3338544886
196	0.3337821732
197	0.3337119207
198	0.3336494096
199	0.3335651503
200	0.3333996441
201	0.3333503915
202	0.3332627069
203	0.3331697491
204	0.3331239006
205	0.3330580384
206	0.3329456141
207	0.3327823725
208	0.3326798819
209	0.3326108828
210	0.3325551693
211	0.3324599868
212	0.3324073543
213	0.3322921625
214	0.3322366881
215	0.3321416531
216	0.3320381054
217	0.33192855
218	0.3318754536
219	0.3318041548
220	0.331721197
221	0.3316715638
222	0.331633095
223	0.3315665247
224	0.3314743465
225	0.3314316526
226	0.3313369196
227	0.3312887623
228	0.3312428692
229	0.3311939156
230	0.331137447
231	0.3310986979
232	0.331043572
233	0.3309664686
234	0.3309166073
235	0.3308552726
236	0.3307916591
237	0.3307545399
238	0.3306686293
239	0.3305992673
240	0.3305440744
241	0.3304757823
242	0.330396191
243	0.330351485
244	0.3302780612
245	0.3302181902
246	0.330178272
247	0.3301152717
248	0.3299620842
249	0.3299189085
250	0.329857181
251	0.3298038942
252	0.3297017507
253	0.3295464435
254	0.3294871582
255	0.3294416229
256	0.3294024321
257	0.3293410254
258	0.3292875808
259	0.3292607004
260	0.3291743587
261	0.3291220698
262	0.3289870946
263	0.3289472928
264	0.3288828627
265	0.328837423
266	0.3288009354
267	0.3287467352
268	0.3287057787
269	0.3286704047
270	0.3286342292
271	0.3285652935
272	0.3285331898
273	0.3284871186
274	0.3284366234
275	0.3283931298
276	0.3283313723
277	0.3283037422
278	0.3282776909
279	0.328236024
280	0.3281850863
281	0.3281437961
282	0.3281126032
283	0.3280749775
284	0.3280285001
285	0.3279920513
286	0.3279649834
287	0.3279386144
288	0.3279122055
