iter	Passed	Remaining
0	0	272
1	1	262
2	2	263
3	2	253
4	3	248
5	3	239
6	4	241
7	5	246
8	6	247
9	6	244
10	7	245
11	7	241
12	8	238
13	9	235
14	9	234
15	10	232
16	10	232
17	11	231
18	12	227
19	12	225
20	13	224
21	13	221
22	14	221
23	14	219
24	15	218
25	16	217
26	16	216
27	17	215
28	18	215
29	18	218
30	19	217
31	20	217
32	20	215
33	21	215
34	22	214
35	22	213
36	23	212
37	23	212
38	24	211
39	25	211
40	25	210
41	26	209
42	26	208
43	27	207
44	28	206
45	28	205
46	29	204
47	29	204
48	30	203
49	31	202
50	31	201
51	32	201
52	32	200
53	33	199
54	34	198
55	34	197
56	35	197
57	35	196
58	36	196
59	37	195
60	37	194
61	38	193
62	38	192
63	39	192
64	39	191
65	40	190
66	41	189
67	41	189
68	42	188
69	43	188
70	43	187
71	44	186
72	44	185
73	45	185
74	45	184
75	46	183
76	47	182
77	47	182
78	48	181
79	48	181
80	49	180
81	50	179
82	50	179
83	51	177
84	51	177
85	52	177
86	53	176
87	53	175
88	54	175
89	54	174
90	55	173
91	56	173
92	56	172
93	57	172
94	57	171
95	58	170
96	59	170
97	60	170
98	60	169
99	61	168
100	61	168
101	62	167
102	62	166
103	63	166
104	64	166
105	65	165
106	65	165
107	66	164
108	66	163
109	67	163
110	67	162
111	68	161
112	69	161
113	69	160
114	70	160
115	71	159
116	71	159
117	72	158
118	73	157
119	73	157
120	74	157
121	75	156
122	75	155
123	76	155
124	77	154
125	77	153
126	78	153
127	78	152
128	79	152
129	80	151
130	80	150
131	81	150
132	81	149
133	82	149
134	83	148
135	83	147
136	84	147
137	85	146
138	85	146
139	86	145
140	86	144
141	87	144
142	88	143
143	88	143
144	89	142
145	90	142
146	90	141
147	91	140
148	92	140
149	92	139
150	93	139
151	94	138
152	94	138
153	95	137
154	96	137
155	96	136
156	97	135
157	97	135
158	98	134
159	99	134
160	99	133
161	100	132
162	101	132
163	101	131
164	102	131
165	103	130
166	103	129
167	104	129
168	105	129
169	106	128
170	106	128
171	107	127
172	108	126
173	109	127
174	110	126
175	110	125
176	111	125
177	112	124
178	112	124
179	113	123
180	114	123
181	114	122
182	115	121
183	115	121
184	116	120
185	117	119
186	117	119
187	118	118
188	119	117
189	119	117
190	120	116
191	120	115
192	121	115
193	122	114
194	122	114
195	123	113
196	124	112
197	124	112
198	125	111
199	126	111
200	126	110
201	127	109
202	128	109
203	128	108
204	129	107
205	130	107
206	130	106
207	131	106
208	131	105
209	132	104
210	133	104
211	133	103
212	134	102
213	134	102
214	135	101
215	136	100
216	136	100
217	137	99
218	137	98
219	138	98
220	139	97
221	139	96
222	140	96
223	141	95
224	141	95
225	142	94
226	143	93
227	143	93
228	144	92
229	144	92
230	145	91
231	146	90
232	146	90
233	147	89
234	148	88
235	148	88
236	149	87
237	149	86
238	150	86
239	151	85
240	151	85
241	152	84
242	153	83
243	153	83
244	154	82
245	154	81
246	155	81
247	156	80
248	156	79
249	157	79
250	157	78
251	158	77
252	159	77
253	159	76
254	160	76
255	161	75
256	161	74
257	162	74
258	162	73
259	163	72
260	164	72
261	164	71
262	165	70
263	165	70
264	166	69
265	167	69
266	167	68
267	168	67
268	168	67
269	169	66
270	170	65
271	170	65
272	171	64
273	172	64
274	172	63
275	173	62
276	173	62
277	174	61
278	175	60
279	175	60
280	176	59
281	177	59
282	177	58
283	178	57
284	178	57
285	179	56
286	179	55
287	180	55
288	181	54
289	181	53
290	182	53
291	183	52
292	184	52
293	184	51
294	185	50
295	186	50
296	187	49
297	187	49
298	188	48
299	188	47
300	189	47
301	190	46
302	190	45
303	191	45
304	192	44
305	192	44
306	193	43
307	194	42
308	194	42
309	195	41
310	195	40
311	196	40
312	197	39
313	197	39
314	198	38
315	199	37
316	199	37
317	200	36
318	201	35
319	201	35
320	202	34
321	202	34
322	203	33
323	204	32
324	204	32
325	205	31
326	205	30
327	206	30
328	207	29
329	207	28
330	208	28
331	208	27
332	209	27
333	210	26
334	210	25
335	211	25
336	211	24
337	212	23
338	213	23
339	213	22
340	214	21
341	214	21
342	215	20
343	216	20
344	216	19
345	217	18
346	217	18
347	218	17
348	218	16
349	219	16
350	219	15
351	220	15
352	221	14
353	221	13
354	222	13
355	222	12
356	223	11
357	223	11
358	224	10
359	225	10
360	225	9
361	226	8
362	226	8
363	227	7
364	228	6
365	228	6
366	229	5
367	229	4
368	230	4
369	231	3
370	231	3
371	232	2
372	232	1
373	233	1
374	234	0
375	234	0
